Area Name,Total/Rural/Urban,Total Population,Male Population,Female Population,Total population attending educational institution,Male population attending educational institution,Female population attending educational institution,Total literates,Male literates,Female literates
District - Dakshina Kannada  24,Urban,729302,363777,365525,173809,88961,84848,160627,82344,78283
District - Kodagu  25,Total,548561,274831,273730,110299,57022,53277,101046,52394,48652
District - Kodagu  25,Rural,473179,236270,236909,92094,47908,44186,84202,43941,40261
District - Kodagu  25,Urban,75382,38561,36821,18205,9114,9091,16844,8453,8391
District - Mysore  26,Total,2641027,1344670,1296357,557115,301958,255157,508710,277965,230745
District - Mysore  26,Rural,1658899,845379,813520,314901,175755,139146,283682,160188,123494
District - Mysore  26,Urban,982128,499291,482837,242214,126203,116011,225028,117777,107251
District - Chamarajanagar*  27,Total,965462,489940,475522,175888,96475,79413,159099,88184,70915
District - Chamarajanagar*  27,Rural,817372,414783,402589,142173,78474,63699,127799,71358,56441
District - Chamarajanagar*  27,Urban,148090,75157,72933,33715,18001,15714,31300,16826,14474
State - LAKSHADWEEP  31,Total,60650,31131,29519,17066,9252,7814,14311,7829,6482
State - LAKSHADWEEP  31,Rural,33683,17191,16492,9531,5097,4434,7950,4284,3666
State - LAKSHADWEEP  31,Urban,26967,13940,13027,7535,4155,3380,6361,3545,2816
District - Lakshadweep  01,Total,60650,31131,29519,17066,9252,7814,14311,7829,6482
District - Lakshadweep  01,Rural,33683,17191,16492,9531,5097,4434,7950,4284,3666
District - Lakshadweep  01,Urban,26967,13940,13027,7535,4155,3380,6361,3545,2816
State - MANIPUR  14,Total,2166788,1095634,1071154,714762,378264,336498,594694,317520,277174
State - MANIPUR  14,Rural,1590820,808953,781867,510074,272704,237370,419463,226748,192715
State - MANIPUR  14,Urban,575968,286681,289287,204688,105560,99128,175231,90772,84459
District - Senapati  01,Total,156513,80230,76283,46918,25212,21706,39707,21533,18174
District - Senapati  01,Rural,156513,80230,76283,46918,25212,21706,39707,21533,18174
District - Senapati  01,Urban,0,0,0,0,0,0,0,0,0
District - Tamenglong  02,Total,111499,58014,53485,35171,19339,15832,27278,15268,12010
District - Tamenglong  02,Rural,111499,58014,53485,35171,19339,15832,27278,15268,12010
District - Tamenglong  02,Urban,0,0,0,0,0,0,0,0,0
District - Churachandpur  03,Total,227905,117232,110673,69882,37506,32376,55954,30502,25452
District - Churachandpur  03,Rural,227905,117232,110673,69882,37506,32376,55954,30502,25452
District - Churachandpur  03,Urban,0,0,0,0,0,0,0,0,0
District - Bishnupur  04,Total,208368,104550,103818,66047,35139,30908,55028,29624,25404
District - Bishnupur  04,Rural,133627,67009,66618,40973,21913,19060,33934,18403,15531
District - Bishnupur  04,Urban,74741,37541,37200,25074,13226,11848,21094,11221,9873
District - Thoubal  05,Total,364140,182250,181890,117227,62710,54517,96465,52272,44193
District - Thoubal  05,Rural,232868,116735,116133,71929,39005,32924,58691,32309,26382
District - Thoubal  05,Urban,131272,65515,65757,45298,23705,21593,37774,19963,17811
District - Imphal West  06,Total,444382,221781,222601,156605,80403,76202,134164,69098,65066
District - Imphal West  06,Rural,197699,99278,98421,68045,35173,32872,56882,29538,27344
District - Imphal West  06,Urban,246683,122503,124180,88560,45230,43330,77282,39560,37722
District - Imphal East *  07,Total,394876,198371,196505,136494,71544,64950,114380,60332,54048
District - Imphal East *  07,Rural,286566,144866,141700,95244,50624,44620,78664,42186,36478
District - Imphal East *  07,Urban,108310,53505,54805,41250,20920,20330,35716,18146,17570
District - Ukhrul  08,Total,140778,73465,67313,52618,28008,24610,43184,23202,19982
